name	self_contained	abs_clusters	residual_class	ours_st	ours_t	base_st	base_t	full_nodes	residual_nodes	n_oxidd	n_ltlsynt
Increment.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.046112109994282946	SOLVED	0.02683129601064138	11	0	1	0
IntendDemo_42dc4fff.tlsf	0	0	liveness (F/U/GF/Buchi)					267	267	0	1
KitchenTimerV0.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.044564787996932864	SOLVED	0.029460958001436666	15	0	1	0
KitchenTimerV1.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.0434623240143992	SOLVED	0.03442346298834309	105	0	1	0
KitchenTimerV10.tlsf	0	0	W/R safety not yet handled					599	599	0	1
KitchenTimerV2.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.049063348007621244	SOLVED	0.04380863800179213	180	0	1	0
KitchenTimerV3.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.05198145902249962	SOLVED	0.060178507992532104	259	0	1	0
KitchenTimerV4.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.07907012800569646	SOLVED	0.06642880599247292	354	0	1	0
KitchenTimerV5.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.10652336297789589	SOLVED	0.11154635899583809	429	0	1	0
KitchenTimerV6.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.12489012800506316	SOLVED	0.23548956800368614	505	0	1	0
KitchenTimerV7.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.14159958300297149	SOLVED	0.23639929798082449	519	0	2	0
KitchenTimerV8.tlsf	1	3	(none / unrealizable verdict)	SOLVED	0.16373938898323104	SOLVED	0.23626917297951877	547	0	3	0
KitchenTimerV9.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.3701532889972441	SOLVED	0.4485560109897051	575	0	2	0
LampController_974f4a68.tlsf	0	0	liveness (F/U/GF/Buchi)					95	95	0	1
LedMatrix.tlsf	0	0	liveness (F/U/GF/Buchi)					354	354	0	1
Light_a50cadd7.tlsf	0	0	liveness (F/U/GF/Buchi)					63	63	0	1
Light_aeb1d897.tlsf	0	0	liveness (F/U/GF/Buchi)					143	143	0	1
Light_d65ed84e.tlsf	0	0	liveness (F/U/GF/Buchi)					140	140	0	1
Lights2Min_9cbf2546.tlsf	0	0	liveness (F/U/GF/Buchi)					83	83	0	1
Lights2_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					167	167	0	1
Lights2_0f5381e9.tlsf	0	0	liveness (F/U/GF/Buchi)					180	180	0	1
Lights2_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					180	180	0	1
Lights2_9cac58d3.tlsf	0	0	liveness (F/U/GF/Buchi)					161	161	0	1
Lights2_b02056d6.tlsf	0	0	liveness (F/U/GF/Buchi)					153	153	0	1
Lights2_f1477cc5.tlsf	0	0	liveness (F/U/GF/Buchi)					161	161	0	1
Lights2_f3987563.tlsf	0	0	liveness (F/U/GF/Buchi)					161	161	0	1
Lights3Min_6479ef9a.tlsf	0	0	liveness (F/U/GF/Buchi)					63	63	0	1
Lights3_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					113	113	0	1
Lights3_235467da.tlsf	0	0	liveness (F/U/GF/Buchi)					107	107	0	1
Lights3_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					126	126	0	1
Lights3_3916ec59.tlsf	0	0	liveness (F/U/GF/Buchi)					126	126	0	1
Lights3_6bea956e.tlsf	0	0	liveness (F/U/GF/Buchi)					102	102	0	1
Lights3_f1477cc5.tlsf	0	0	liveness (F/U/GF/Buchi)					107	107	0	1
LightsMin_6bea956e.tlsf	0	0	liveness (F/U/GF/Buchi)					76	76	0	1
LightsTotal_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					189	189	0	1
LightsTotal_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					202	202	0	1
LightsTotal_9cbf2546.tlsf	0	0	liveness (F/U/GF/Buchi)					183	183	0	1
LightsTotal_d65ed84e.tlsf	0	0	liveness (F/U/GF/Buchi)					202	202	0	1
Lights_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					105	105	0	1
Lights_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					118	118	0	1
Lights_3461125b.tlsf	0	0	liveness (F/U/GF/Buchi)					94	94	0	1
Lights_9cac58d3.tlsf	0	0	liveness (F/U/GF/Buchi)					99	99	0	1
Lights_b0840146.tlsf	0	0	liveness (F/U/GF/Buchi)					118	118	0	1
Lights_f3987563.tlsf	0	0	liveness (F/U/GF/Buchi)					99	99	0	1
ModdifiedLedMatrix4X.tlsf	0	0	liveness (F/U/GF/Buchi)					318	318	0	1
ModdifiedLedMatrix5X.tlsf	0	0	liveness (F/U/GF/Buchi)					319	319	0	1
Morning2Min_6cbc6174.tlsf	0	0	liveness (F/U/GF/Buchi)					71	71	0	1
Morning2_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					307	307	0	1
Morning2_1cf58fc1.tlsf	0	0	liveness (F/U/GF/Buchi)					255	255	0	1
Morning2_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					320	320	0	1
Morning2_407db2cc.tlsf	0	0	liveness (F/U/GF/Buchi)					267	267	0	1
Morning2_4d4ca5c4.tlsf	0	0	liveness (F/U/GF/Buchi)					221	221	0	1
Morning2_63831f8c.tlsf	0	0	liveness (F/U/GF/Buchi)					301	301	0	1
Morning2_68c86764.tlsf	0	0	liveness (F/U/GF/Buchi)					289	289	0	1
Morning2_9cac58d3.tlsf	0	0	liveness (F/U/GF/Buchi)					235	235	0	1
Morning2_d65ed84e.tlsf	0	0	liveness (F/U/GF/Buchi)					320	320	0	1
Morning2s_06cf2373.tlsf	0	0	liveness (F/U/GF/Buchi)					326	326	0	1
Morning2s_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					332	332	0	1
Morning2s_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					345	345	0	1
Morning2s_42dc4fff.tlsf	0	0	liveness (F/U/GF/Buchi)					347	347	0	1
Morning2s_9cbf2546.tlsf	0	0	liveness (F/U/GF/Buchi)					314	314	0	1
Morning2s_d6c5ac79.tlsf	0	0	liveness (F/U/GF/Buchi)					345	345	0	1
MorningMin_d6c5ac79.tlsf	0	0	liveness (F/U/GF/Buchi)					153	153	0	1
Morning_14a3b3a2.tlsf	0	0	liveness (F/U/GF/Buchi)					354	354	0	1
Morning_4b5e6eaa.tlsf	0	0	liveness (F/U/GF/Buchi)					342	342	0	1
Morning_88c5c1c3.tlsf	0	0	liveness (F/U/GF/Buchi)					281	281	0	1
Morning_9cac58d3.tlsf	0	0	liveness (F/U/GF/Buchi)					297	297	0	1
Morning_c92eb242.tlsf	0	0	liveness (F/U/GF/Buchi)					324	324	0	1
Morning_f1477cc5.tlsf	0	0	liveness (F/U/GF/Buchi)					315	315	0	1
Morning_f2774e0b.tlsf	0	0	liveness (F/U/GF/Buchi)					320	320	0	1
MusicAppFeedback.tlsf	0	0	W/R safety not yet handled					133	133	0	1
MusicAppMotivating.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.057043464010348544	SOLVED	0.0320100600074511	118	0	1	0
MusicAppSimple.tlsf	0	0	liveness (F/U/GF/Buchi)					119	119	0	1
OneCounter.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.13785137300146744	SOLVED	0.29738145699957386	203	0	1	0
OneCounterGui.tlsf	0	0	W/R safety not yet handled					131	131	0	1
OneCounterGuiA1.tlsf	0	0	W/R safety not yet handled					139	139	0	1
OneCounterGuiA2.tlsf	0	0	W/R safety not yet handled					147	147	0	1
OneCounterGuiA3.tlsf	0	0	W/R safety not yet handled					155	155	0	1
OneCounterGuiA4.tlsf	0	0	W/R safety not yet handled					163	163	0	1
OneCounterGuiA5.tlsf	0	0	W/R safety not yet handled					171	171	0	1
OneCounterGuiA6.tlsf	0	0	W/R safety not yet handled					179	179	0	1
OneCounterGuiA7.tlsf	0	0	W/R safety not yet handled					187	187	0	1
OneCounterGuiA8.tlsf	0	0	W/R safety not yet handled					195	195	0	1
OneCounterInRange.tlsf	0	0	liveness (F/U/GF/Buchi)					47	47	0	1
OneCounterInRangeA1.tlsf	0	0	liveness (F/U/GF/Buchi)					55	55	0	1
OneCounterInRangeA2.tlsf	0	0	liveness (F/U/GF/Buchi)					63	63	0	1
OneCounterInRangeA3.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.047113764012465253	SOLVED	0.025411434995476156	71	0	1	0
PlugController_fa4d4ce3.tlsf	0	0	liveness (F/U/GF/Buchi)					70	70	0	1
Radarboard.tlsf	1	11	(none / unrealizable verdict)	SOLVED	0.2827451750054024	SOLVED	0.022589597007026896	184	0	11	0
RegManager.tlsf	1	3	(none / unrealizable verdict)	SOLVED	0.09168110400787555	SOLVED	0.022545539017301053	77	0	3	0
Room_a50cadd7.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
RotationCalculator.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04376742197200656	SOLVED	0.02347095200093463	111	0	1	0
SPI.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.05475332398782484	SOLVED	0.1014175729942508	260	0	1	0
SPIPureNext.tlsf	0	0	liveness (F/U/GF/Buchi)					1157	1157	0	1
SPIReadClk.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.048652660014340654	SOLVED	0.021763685974292457	48	0	1	0
SPIReadManag.tlsf	0	0	liveness (F/U/GF/Buchi)					213	213	0	1
SPIReadSdi.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04805915799806826	SOLVED	0.02463431700016372	48	0	1	0
SPIWriteClk.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04388806098722853	SOLVED	0.027067386981798336	68	0	1	0
SPIWriteManag.tlsf	0	0	liveness (F/U/GF/Buchi)					170	170	0	1
SPIWriteSdi.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04666059301234782	SOLVED	0.03504517598776147	84	0	1	0
