name	rc_off	rc_ms
amba_case_study_unreal_pb_2_pe_.tlsf	1	1
amba_case_study_unreal_pb_3_pe_.tlsf	1	1
amba_case_study_unreal_pb_4_pe_.tlsf	1	1
amba_case_study_unreal_pb_5_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_10_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_11_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_12_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_13_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_14_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_15_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_16_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_2_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_3_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_4_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_5_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_6_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_7_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_8_pe_.tlsf	1	1
amba_decomposed_arbiter_pb_9_pe_.tlsf	1	1
amba_decomposed_decode.tlsf	0	0
amba_decomposed_encode_pb_10_pe_.tlsf	0	0
amba_decomposed_encode_pb_11_pe_.tlsf	0	0
amba_decomposed_encode_pb_12_pe_.tlsf	0	0
amba_decomposed_encode_pb_13_pe_.tlsf	0	0
amba_decomposed_encode_pb_14_pe_.tlsf	0	0
amba_decomposed_encode_pb_15_pe_.tlsf	0	0
amba_decomposed_encode_pb_16_pe_.tlsf	0	0
amba_decomposed_encode_pb_20_pe_.tlsf	0	0
amba_decomposed_encode_pb_25_pe_.tlsf	0	0
amba_decomposed_encode_pb_28_pe_.tlsf	0	0
amba_decomposed_encode_pb_2_pe_.tlsf	0	0
amba_decomposed_encode_pb_3_pe_.tlsf	0	0
amba_decomposed_encode_pb_4_pe_.tlsf	0	0
amba_decomposed_encode_pb_5_pe_.tlsf	0	0
amba_decomposed_encode_pb_6_pe_.tlsf	0	0
amba_decomposed_encode_pb_7_pe_.tlsf	0	0
amba_decomposed_encode_pb_8_pe_.tlsf	0	0
amba_decomposed_encode_pb_9_pe_.tlsf	0	0
amba_decomposed_lock_pb_100_pe_.tlsf	1	1
amba_decomposed_lock_pb_10_pe_.tlsf	0	0
amba_decomposed_lock_pb_11_pe_.tlsf	0	0
